,Number_of_Paths,Kurtosis,Skewness
0,100,0.2947572820308073,0.47698447862086185
1,621,0.11052658596523468,0.12909404366964047
2,1142,0.26162131826149615,0.04529869001129294
3,1663,-0.01064438992439909,0.03029685995343624
4,2184,0.15497472545440383,0.02937747457395095
5,2705,-0.011627280151106145,0.06657768223599957
6,3226,-0.017560058275578605,-0.04326217811502133
7,3747,0.04484722298115784,-0.06906596784051688
8,4268,-0.046527341600189676,0.012774862092609302
9,4789,-0.031793768226837216,0.01686566623096102
10,5310,-0.07069033653826429,0.02487083022251379
11,5831,-0.00038180695549172583,0.0971242632346014
12,6352,0.012063169075068103,-0.008510508453041061
13,6873,-0.004027522606700362,0.006954154992641442
14,7394,-0.03188193069154588,-0.0690070961661381
15,7915,0.07788471612203107,-0.014506578213913568
16,8436,-0.03957096401231919,0.021636710817028715
17,8957,-0.025480127683333187,0.046709779576926944
18,9478,0.09081859909779899,-0.007270471137442039
19,10000,-0.007276268803871666,0.028997723091227126
