Strikes,stock,DELTA_CALL,DELTA_PUT,GAMMA_CALL,GAMMA_PUT,VEGA_CALL,VEGA_PUT,THETA_CALL,THETA_PUT,RHO_CALL,RHO_PUT
50.0,100,0.9961741706193091,-0.004188687329280522,0.0031321430451777673,-0.00011031734273766238,1.4362053331983988,1.2288340472550392,-7.822166258465209,-0.16540196464100063,47.100124954152854,-0.4613462708828463
51.0,100,0.9950208005110512,-0.005342057437538385,0.003158593392606341,-0.0001367676901662362,1.7353099107318728,1.5279386247885134,-7.814219643136443,-0.20499165395428767,47.92569697167702,-0.5870036778593906
52.0,100,0.9940888494184631,-0.0062740085301265435,0.0031793333035760266,-0.00015750760113592143,1.9706675532063702,1.7632962672630106,-7.797916874515558,-0.23622037183820357,48.77143505300061,-0.6924950210365198
53.0,100,0.9929395358389534,-0.007423322109636366,0.003204176775312777,-0.00018235107287267196,2.2535816779591697,2.0462103920158103,-7.787762990147825,-0.27359298843508884,49.59339239871168,-0.8217670998261668
54.0,100,0.9917706309920886,-0.008592226956500974,0.003228781031126307,-0.0002069553286862018,2.5346913815004064,2.327320095557047,-7.777361312692448,-0.3107119191697584,50.410974089070045,-0.9554148339685171
55.0,100,0.9905249926040164,-0.009837865344573472,0.003254150530179279,-0.00023232482773917335,2.8257555236722975,2.618384237728938,-7.7681658364789605,-0.3490323348778794,51.218948362240944,-1.0986699852983246
56.0,100,0.9880926337981025,-0.012270224150487136,0.00330215237475607,-0.00028032667231596555,3.378744733617629,3.171373447674269,-7.792479784569881,-0.42085465123770904,51.90516526907576,-1.3636825029642237
57.0,100,0.9855683800828337,-0.01479447786575593,0.003350683563724017,-0.0003288578612839119,3.9397842347551557,3.7324129488117967,-7.817790993167336,-0.4936620748973273,52.577208857485516,-1.6428683390551833
58.0,100,0.9832697865477076,-0.017093071400881926,0.0033934084949414174,-0.0003715827925013126,4.435991352982944,4.228620067039584,-7.834701741293745,-0.5580594743679731,53.26789654261549,-1.9034100784259287
59.0,100,0.9812633195302541,-0.019099538418335643,0.003429495063410089,-0.00040766936096998404,4.857051048193268,4.649679762249909,-7.841977481421184,-0.6128132591564465,53.98426742220697,-2.138268623335155
60.0,100,0.9780929978499763,-0.022269860098613602,0.003484847542353247,-0.00046302183991314255,5.505685488033192,5.298314202089833,-7.877800705754642,-0.6961032842983431,54.57964191900197,-2.494123551040872
61.0,100,0.9740636325406444,-0.026299225407945274,0.003553003933659854,-0.0005311782312197498,6.3081303603792165,6.100759074435856,-7.932699496793817,-0.798454283015571,55.08312765339019,-2.941867241153358
62.0,100,0.9699657580446395,-0.030397099903950116,0.003619945486515168,-0.0005981197840750632,7.100482123812496,6.893110837869137,-7.9860650902265,-0.8992563158840859,55.57329617583542,-3.4029281432088543
63.0,100,0.965148692011426,-0.035214165937163755,0.003696129812684793,-0.0006743041102446873,8.006837366505145,7.799466080561787,-8.053301160729045,-1.013910980041358,55.984227287219724,-3.9432264563252604
64.0,100,0.9614041862098264,-0.038958671738763336,0.0037534674467271877,-0.0007316417442870824,8.692548880977082,8.485177595033722,-8.093153295247507,-1.1011646471898464,56.49541797994641,-4.38326518809929
65.0,100,0.9564935686756428,-0.04386928927294662,0.0038259375744677327,-0.0008041118720276272,9.564568684408032,9.357197398464669,-8.1554450101605,-1.210842098152515,56.88351958514269,-4.946393007403713
66.0,100,0.9523804342295296,-0.047982423719060426,0.003884592209249258,-0.000862766506809153,10.274509065606704,10.067137779663344,-8.197765946217757,-1.30053151917836,57.344295118370844,-5.436846898676281
67.0,100,0.9478894127546595,-0.05247344519393018,0.003946343314077004,-0.0009245176116368983,11.026750758130246,10.819379472186888,-8.244874329392392,-1.3949922108258197,57.760648237474804,-5.971723204073032
68.0,100,0.9432633726704579,-0.05709948527813188,0.00400759180239814,-0.000985766099958035,11.778016843867665,11.570645557924305,-8.291484976351516,-1.4889393793273806,58.15702553866426,-6.5265753273842995
69.0,100,0.938049571955633,-0.062313285992956706,0.004074134422649902,-0.0010523087202097972,12.599857067830035,12.392485781886673,-8.346114416135412,-1.5908872235922746,58.48719727190845,-7.147633018640815
